,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,–43,–4,0,–1,2,14,33,8,20,12,5,3,17,0,6,–4,3,–9,6,23
2,2,–31,–30,–22,–15,–14,–2,–3,3,22,11,41,11,11,6,16,–2,4,–5,–14
3,–2,–28,–42,–30,–30,–22,–9,–20,–8,18,11,36,27,23,12,22,12,11,3,6
4,–7,–19,–34,–43,–29,–25,–13,–18,–1,18,4,41,19,25,–6,26,24,23,6,10
5,–4,–6,–26,–26,–56,–28,–24,–19,–5,14,11,21,11,23,–1,29,14,3,3,40
6,28,–13,–13,–30,–35,–57,–51,–49,–13,6,–18,39,30,13,13,26,46,19,–5,–10
7,22,20,–16,–14,–12,–29,–83,–34,–30,–5,–39,41,18,5,1,21,49,20,–30,37
8,20,3,–26,–16,–27,–34,–41,–44,–15,6,–14,31,21,22,–8,22,23,8,–10,0
9,18,1,2,–4,–16,–23,–22,–16,–46,22,1,–9,0,2,8,2,18,7,–10,–1
10,8,7,8,7,16,12,–2,–6,16,40,57,–44,–54,1,–0,5,4,4,18,31
11,4,3,3,–1,9,–11,–17,–7,5,67,26,–33,–45,14,2,7,11,11,–5,14
12,5,33,32,31,12,24,38,33,–7,–51,–33,7,25,–25,0,–25,–13,8,9,35
13,12,6,7,7,9,25,20,19,0,–60,–43,29,30,3,9,–8,–10,26,–9,55
14,3,17,27,23,29,10,17,13,–4,1,8,–31,–0,–26,–12,–11,–13,–0,7,34
15,5,3,3,–16,–13,10,–15,3,10,–1,4,5,12,–1,–13,–1,–4,8,–11,15
16,–2,12,22,18,24,22,26,27,–2,3,5,–26,–16,–6,–3,–16,–7,–0,1,6
17,1,4,14,25,24,31,32,30,14,5,15,–11,–16,–15,–12,–13,–24,–12,4,23
18,–12,–8,–2,13,4,–1,12,–1,13,10,11,20,35,–5,15,5,–8,–50,–2,–39
19,8,–9,2,7,–2,–23,–43,–22,–18,17,–7,21,–1,13,–10,5,13,–4,–10,–10
20,16,2,6,–0,–9,–3,52,–10,–31,48,23,47,62,60,17,34,35,11,–5,–254
